STT,Stock Code,Organization Name,Sector,First Trading Date,Listing Volume,Stock Volume
221,SCG,Công ty cổ phần Tập đoàn Xây dựng SCG,,25/10/2021,85.000.000,85.000.000
222,SCI,CTCP SCI E&C,Xây dựng,5/1/2016,25.409.847,25.409.847
223,SD5,CTCP Sông Đà 5,Xây dựng,27/12/2006,25.999.848,25.999.848
224,SD6,CTCP Sông Đà 6,Xây dựng,25/12/2006,34.771.611,34.771.611
225,SD9,CTCP Sông Đà 9,Xây dựng,20/12/2006,34.234.000,34.234.000
226,SDA,CTCP SIMCO Sông Đà,Xây dựng,21/12/2006,26.206.158,26.205.990
227,SDC,CTCP Tư vấn Sông Đà,"Hoạt động chuyên môn, khoa học và công nghệ;hành chính và dịch vụ hỗ trợ",25/12/2006,2.609.710,2.609.648
228,SDG,CTCP Sadico Cần Thơ,Công nghiệp,22/12/2009,7.139.997,10.139.997
229,SDN,CTCP Sơn Đồng Nai,Công nghiệp,22/6/2009,1.518.218,1.518.218
230,SDT,CTCP Sông Đà 10,Xây dựng,14/12/2006,42.732.311,42.732.311
231,SDU,CTCP Đầu tư xây dựng và Phát triển đô thị Sông Đà,Hoạt động kinh doanh bất động sản,28/9/2009,20.000.000,20.000.000
232,SEB,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN ĐIỆN MIỀN TRUNG,Công nghiệp,14/1/2009,31.999.969,31.999.969
233,SED,CTCP Đầu tư và Phát triển Giáo dục Phương Nam,"Thông tin, truyền thông và các hoạt động khác",19/8/2009,10.000.000,9.271.800
234,SFN,CTCP Dệt lưới Sài Gòn,Công nghiệp,12/6/2009,3.000.000,2.864.150
235,SGC,CTCP Xuất nhập khẩu Sa Giang,Công nghiệp,18/6/2009,7.147.580,7.147.580
236,SGD,CTCP Sách giáo dục tại Tp. HCM,"Thông tin, truyền thông và các hoạt động khác",28/12/2006,4.137.000,4.043.000
237,SGH,CTCP Khách sạn Sài Gòn,"Thương mại và dịch vụ lưu trú, ăn uống",30/7/2009,12.364.100,12.364.100
238,SHE,CTCP Phát triển năng lượng Sơn Hà,Công nghiệp,25/1/2019,9.585.511,9.585.511
239,SHN,CTCP Đầu tư Tổng hợp Hà Nội,Tài chính,16/12/2009,129.607.147,129.607.147
240,SHS,Công ty Cổ phần chứng khoán Sài Gòn - Hà Nội,Tài chính,25/6/2009,813.156.748,813.156.748
241,SIC,CTCP ANI,Công nghiệp,27/12/2006,23.999.270,23.999.264
242,SJ1,CTCP Nông nghiệp Hùng Hậu,Công nghiệp,8/6/2009,23.485.154,23.484.144
243,SJE,CTCP Sông Đà 11,Xây dựng,14/12/2006,21.971.826,21.971.826
244,SLS,CTCP Mía đường Sơn La,Công nghiệp,16/10/2012,9.791.945,9.791.945
